text,ipc_codes,APPLN_YR
Solvent fusing of thermal printer dye image A method of using vaporized solvent to fuse a thermal image includes containment of the solvent vapor. The solvent is applied under reduced pressure.,B41M7,1993
"Gas seal A gas seal arrangement for use in a blown-fiber duct (11) which extends outside a building from within a building, the gas seal arrangement being inserted in a segment of said duct to prevent the flow of gas into the building via said duct (11) and being unidirectionally flexible, the arrangement comprising a connector (15) sealingly connected to respective blown-fiber duct portions on each side thereof, along which the transmission fiber (P) is disposed, the connector further comprising a flange portion (12a) and a flexible body portion (12b), the flexible body portion being arranged to collapse inwardly around a transmission fiber (P) when the transmission fiber has been installed through said duct segment , the flexible body portion being arranged to open to permit gas flow outwardly from the building through said duct segment when the gas flow pressure exceeds a predetermined level, i.e. during the time when the fiber is blown into the duct, and wherein the flexible body portion extends along said duct segment when at rest and is arranged to form an elongate seal with the surface of an installed transmission fiber (P) resistant to opening to gas flowing inwardly.",G02B6,1996
"CONTINUOUS STEEL CASTING METHOD The primary object of the present invention is to provide a method for continuously casting steel which further suppresses pinhole defects.The present invention is a method for continuously casting steel wherein, in a case where: an average value of Lorentz force density components in a direction parallel to a long side of a mold 11 within existence of an iron core 13a is Lx (N/m3), the iron core being a component of an electromagnetic stirrer 13; and an average value of Lorentz force density components in a direction parallel to a short side of the mold 11 within existence of the iron core 13a is Ly (N/m3), a relationship between effective Lorentz force density F (N/m3) that is calculated by F = Lx - α·Ly, and current frequency (Hz) of the electromagnetic stirrer 13 is obtained, and current frequency of the electromagnetic stirrer 13 within the range of a maximum value Fmax to 0.9 Fmax of the effective Lorentz force density F is used.",B22D11,2017
"FASTENER BAG AND FASTENER DEVICE A fastener bag includes a packaging bag formed by heat-sealing side parts of a packaging sheet in a butt seam, and a fastening device attached to the inner surface of the packaging bag. The fastening device includes a male fastening member and a female fastening member. The male fastening member is disposed on one side of the heat-sealed butt seam of the packaging bag, and the female fastening member is disposed on the other side of the heat-sealed butt seam of the packaging bag so as to be engage with the male fastening member, and a tear-facilitating means is interposed between the male and the female fastening member. The fastener bag is capable of being opened and of being reclosed, and is suitable for use on an automatic filling and packaging machine.",B65D33,2003
"METHOD AND DEVICE FOR TRANSMITTING POWER HEADROOM INFORMATION IN COMMUNICATION SYSTEM The present disclosure relates to a communication technique which combines IoT technology with a 5G communication system for supporting a higher data transfer rate than existing 4G systems, and a system thereof. The present disclosure can be applied to an intelligent service (for example, a smart home, a smart building, a smart city, a smart car or a connected car, and services related to health care, digital education, retail business, security and safety, etc.) on the basis of 5G communication technology and IoT-related technology. The present method provides a power headroom information transmission method of a terminal, the headroom information transmission method including: a step of determining whether to transmit second power headroom information, on the basis of information about each beam included in first power headroom information, in a wireless communication system supporting beamforming; and a step of transmitting the second power headroom information to a base station when the transmission of the second power headroom information is determined.","H04W52, H04W24",2020
"Multiplexed molecular analysis apparatus and its fabrication method A method and apparatus for analyzing molecular structures within a sample substance using an array having a plurality of test sites upon which the sample substance is applied. The invention is also directed to a method and apparatus for constructing molecular arrays having a plurality of test sites. The invention allows for definitive high throughput analysis of multiple analytes in complex mixtures of sample substances. A combinatorial analysis process is described that results in the creation of an array of integrated chemical devices. These devices operate in parallel, each unit providing specific sets of data that, when taken as a whole, give a complete answer for a defined experiment. This approach is uniquely capable of rapidly providing a high density of information from limited amounts of sample in a cost-effective manner.
","B01J19, B01L3, G01N35",2011
"Transport container for distribution of agricultural produce A transport container (10) is disclosed for distribution of agricultural produce. The container has a sealed controlled environment for ripening the produce while in transit and/or while stationed in a depot, and comprises
• a plurality of fans (20) for circulating air over pallets of the produce,
• an air conditioning system for maintaining the air circulated by the fans at a desired temperature, and
• a doping system for maintaining the proportion of a ripening agent in the circulated air at a desired level.
",F25D11,2014
"A half bridge and half bridge control method A half bridge is driven to provide by pulse width modulation a desired output. The switching elements include drivers which have power supplies. The condition of the power supply is predicted by use of a model of operating parameters. This model is used in conjunction with a signal applied to one of the switch drivers to determine whether an operating criterion for the power supply of the other switch driver is met. If the condition is satisfied then a signal to the other switch driver is enabled.
",H02M1,2012
"Camera having radio-frequency identification transponder A camera (10) has a body (12), an image capture assembly mounted in the body, and at least one radio-frequency identification transponder (20) mounted within the body, said transponder is unshielded by the body. The transponder can be an inlay transponder.","G03B17, G01S13",2001
"Anti-drip hair styling device An anti-drip device for use in hair styling to prevent hair treatment chemicals from running down on the forehead, neck and side of the user after having been applied to the hair and scalp area.The anti-drip hair styling device comprises:
an absorbent material member (10) having a center portion (12) with two ear indentation portions (16) equally spaced from said center portion (12) and two end portions (18, 20);said center portion (12) having a loop (14) provided in connection therewith for securing said center portion (12) to a perm rod by positioning said loop (14) around the perm rod to maintain said center portion (12) in the proper position particularly during the securing of other portions of said absorbent material member (10);said ear indentation portions (16) each being provided for preventing pressure on the top of an user's ears when said anti-drip styling device (10) is maintained properly in place;said end portions (18, 20) being securable together in a manner to prevent dripping of hair treatment solutions down the face, and back of said user during a hair treatment session.The device is constructed from a polyester and polyamide micro-fiber material for super absorbency.",A45D44,2002
"Sensor arrangement and method for the qualitative and quantitative detection of chemical substances and/or mixtures of substances in an environment What is described is a sensor arrangement of the electronic nose type and a method for the qualitative and quantitative detection of chemical substances and/or mixtures of substances in an environment. The sensor arrangement comprises an array of sensors (10), capable of emitting a set of response signals correlated with the presence and/or concentration of at least one chemical substance, and an electronic processing and recognition system including a Boolean learning machine (34), arranged to classify the response signals generated by the sensor array (10) by the application of at least one predetermined collection of binary classification rules, adapted to discriminate between a pair of predetermined complementary outcomes of the detection.
",G01N33,2006
"COMPRESSION IN MACHINE LEARNING AND DEEP LEARNING PROCESSING Embodiments are generally directed to compression in machine learning and deep learning processing. An embodiment of an apparatus for compression of untyped data includes a graphical processing unit (GPU) including a data compression pipeline, the data compression pipeline including a data port coupled with one or more shader cores, wherein the data port is to allow transfer of untyped data without format conversion, and a 3D compression/decompression unit to provide for compression of untyped data to be stored to a memory subsystem and decompression of untyped data from the memory subsystem.
",G06F12,2019
"Ignition circuit An ignition circuit comprising: a capacitor 1; means 3 for charging the capacitor; a transformer 7 having a magnetic core 38 and a primary winding 30 and a secondary winding 32 wound about the core 38, the primary winding 30 having an inner cross-sectional area at least equal to half of the inner cross-sectional area of the secondary winding 32, and preferably substantially equal to the inner cross-sectional area of the secondary winding 32; and means for discharging the capacitor 1 through the primary winding 30 of the transformer 7.",H01F38,1998
"Apparatus for detecting remaining sheets of supplied paper in facsimile An apparatus for detecting the remaining sheets of paper supplied in a facsimile, is disclosed including means for supplying paper; means for generating a signal corresponding to the mounting of the supply means and the number of sheets of paper supplied; means for detecting the signal of the generating means; means for calculating the number of sheets of remaining paper according to a detection signal; and means for displaying the number of sheets of remaining paper calculated in the calculation means.",H04N1,1996
"Liquid detergent composition This invention provides a liquid detergent composition comprising (A) a surface active agent, (B) a pearlescent agent, and (C) a viscosity modifier, which exhibits an opaque appearance and has a viscosity of 200-4,000 cps at 20°C bulk temperature and a Brookfield yield value of 5-100 p.This detergent composition can be squeezed from a container at a constant volume and can be perceived visually when applied onto a sponge without being soaked quickly into it so that it is not only economical since it prevents excess usage but also helps to prevent chapped hands or skin roughening.","C11D1, C11D17",1993
"TRANSMISSION INPUT CIRCUIT A transmission input circuit of the present invention is provided with: a current detection resistor which receives an input of a line current flowing through a transmission line and generates a line current detection voltage; a constant current circuit which generates a predetermined reference current; a first switch which performs a switching operation at an empty timing where a transmission current is not flowing, to thereby allow the reference current to flow from the constant current circuit to the current detection resistor, and generate a reference voltage, in which a threshold voltage corresponding to the reference current is added to a load current detection voltage corresponding to the load current; a capacitor which is connected to the current detection resistor via the first switch; a second switch which performs a switching operation in synchronization with the first switch to thereby sample-hold the reference voltage generated by the current detection resistor in the capacitor; and a comparator which receives an input of the line current detection voltage generated by means of the current detection resistor, to one of input terminals, receives an input of the reference voltage held in the capacitor to an other input terminal, and outputs a voltage component of the line current detection voltage which exceeds the reference voltage, as a transmission current detection signal.","G08B29, H04Q9, G08B25, G08B17",2011
"Omni-directional image navigator An omni-directional image navigator is described. The omni-directional image navigator includes a first touch area and a direction control area constituted by a second touch area adjacent to the first touch area. The direction control area is utilized to move an image on a display of an electronic device. The direction control area is formed on a touch pad. Preferably, the first touch area is also formed on the touch pad. The omni-directional image navigator further includes a mechanical switch thereunder to improve the tactile feedback thereof.
",G06F3,2007
"DIRECT COUPLING DEVICE FOR GENERATING HYDROGEN FROM CONCENTRATED SUNLIGHT This invention is a direct coupling device (31) to generate hydrogen from concentrated sunlight comprised of a solar concentrator (32) and a water electrolyser (33) where the solar concentrator (32) is comprised of an optical concentration element (15), adjacent to a number of photovoltaic cells (14) coupled to a heat exchanger (13) and the water electrolyser (33) comprised of a proton exchange membrane (2) in which the membrane is comprised of a number of individualized anode zones (6) and cathodic zones (12) coated with a catalyst, a number of cathode single-polar plates (3) and a number of anode single-polar plates (5), a number of regeneration electrodes (1), a number of floating flow guide plates (7), a number of elastic compression elements (8) and a casing consisting of an upper (9) and a lower (10) part.","C25B9, C25B1",2023
"Device for releasably supporting an object A device (10) for releasably supporting an object (12), said device including a housing (16) with a space therein and a spring member (50) having a segment thereof disposed in said space (54) and another segment (52) in partial registry with recesses formed by housing side walls.  ","B25H3, A47F5, A47B81",1990
"JOINT STRUCTURE A method of joining a structure, which includes a first metallic material having a first projection, a second metallic material similar in type to the first metallic material and weldable to the first metallic material, and a different type of material having a first penetrating part and sandwiched between the first metallic material and the second metallic material, the different type of material being different in type from the first metallic material and the second metallic material and difficult to be welded to the first metallic material and the second metallic material.
","F16B5, B23K10, B23K9, B23K103",2020
"Sanitary facility room for clean room This invention relates to a sanitary facility room to be installed in a computer room or a clean room found in a manufacturing factory for a semiconductor element wherein the water supplying means (1) is operated by a control part (6) receiving a sensed signal from the sensing means (5) for a human body, cleaning water is supplied to the sanitary device (a) to form water films at the inner surface of the sanitary device (a) and to perform an automatic cleaning of the sanitary device (a).","E03D9, E03D5",1986
"METHOD FOR PRODUCING A PART FROM A STEEL SHEET COATED WITH A METALLIC COATING BASED ON ALUMINUM A method for producing a coated part, comprising providing a steel sheet with a metallic coating comprising from 2.0 to 24.0% of zinc, from 7.1 to 12.0% of silicon, optionally from 1.1 to 8.0% of magnesium, and optionally additional elements chosen from Pb, Ni, Zr, or Hf, the content of each being less than 0.3%, wherein the ratio Al/Zn is above 2.9. The coated steel sheet is cut to obtain a blank, the blank is thermally treated between 840 and 950°C to obtain a fully austenitic microstructure in the steel, transferred into a press tool, hot-formed to obtain a part and cooled to obtain a microstructure in steel being martensitic or martensito-bainitic or made of at least 75% of equiaxed ferrite, from 5 to 20% of martensite, and bainite in amount less than or equal to 10%.",C23C2,2019
"Method and apparatus for heating and smelting pulverous solids and for volatilizing the volatile ingredients thereof in a suspension smelting furnace The invention relates to a method and apparatus for raising the temperature and mixing efficiency of mainly non-combustible pulverous solid particles so high, that a desired smelting and volatilizing is achieved. The method is characterized in that the heating and mixing are carried out in at least two stages. Advantageously the reactions are made to happen in a suspension smelting furnace, such as a flash smelting furnace.","F27D3, C22B5",1992
"Door apparatus for rest room A door apparatus for a rest room includes a wall member defining a predetermined space and an opening for an entrance and an exit thereof; a door body for opening or shutting the opening, having a substantially half-cylindrical shape, being rotatable about a center of curvature of the half-cylindrical shape; and a driving device for driving and rotating the door body about the center of curvature. In a preferred embodiment, the driving device has a pulley with a peripheral shape of involute, a wire wound about the pulley, and a weight connected to an end of the wire. The weight is inserted into a tube receiving oil.","E05F15, E06B3, A47K3",1995
"System and method for a negative acknowledgement-based transmission control protocol A system and method for transmitting data in a data communications network, using a transmission control protocol, to provide reduced acknowledgment control traffic, error recovery and congestion control. A communications link is established between a transmitter and a receiver. Setting the communications link includes setting a network congestion window to an initial length. A sequence, or stream, of data packets is sent from the transmitter to the receiver. The receiver detects any missing packers, by examining the sequence numbers of the incoming packets, and sends negative acknowledgments, generally no more than four, to the transmitter identifying the missing data packet. When the transmitter receives a negative acknowledgment, it decreases the length of the congestion window, and re-transmits the missing packet. Detection and use of round-trip time, re-transmission time-out are provided.","H04L29, H04L12",2001
"DEVICE FOR DELIVERING HYDROGEL COMPOSITIONS WITH SELF-PURGING TO PREVENT CLOGGING A hydrogel composition is formed by conveying separate first and second liquid components subject to a selectively applied application pressure P(A) into an outlet path for mixing and discharge. A liquid flushing agent is automatically conveyed into the outlet path subject to a substantially constantly applied purge pressure P(P) when the application of P(A) is interrupted, to continuously flush residual hydrogel composition from the outlet path.
","A61M39, A61M5, A61B17",2020
Cooling structure for heat generating electronic components mounted on a substrate The cooling structure for heat-generating electronic com­ponents (2) mounted on a substrate (1) comprises a cold plate (7) fixed on the substrate and provided with through holes (5) opposed to the respective upper surfaces of the heat-generating electronic components.Flow paths (6) are formed within the cold plate (7) for circulating a coolant from an inlet (10) provided on a side of the cold plate to an outlet (11) provided on a side of the cold plate.Pistons or plugs (4) are inserted through and held within the through holes (5) so that the lower surfaces of these pistons or plugs come into contact with the upper surfaces of the heat-generating electronic components (2). An intermediate member (3) made of a heat-conductive material is interposed between the lower surfaces of the pistons (4) and the upper surfaces of the electronic components (2).  ,H01L23,1989
"METHOD OF GENERATING A VIRTUAL PATIENT-SPECIFIC BONE PLATE A method of generating a patient-specific virtual model of a trauma plate for a particular bone, the method comprising:
accessing a bone atlas comprising a plurality of three dimensional bone models of a particular bone;
obtaining a plurality of virtual 3D bone component part surface representations of a respective plurality of bone component parts of a bone;
virtually repositioning one or more of the plurality of virtual 3D bone component part surface representations to form a patient-specific virtual 3D patchwork bone model;selecting a virtual 3D bone plate template most closely conforming to the virtual 3D patchwork bone model from among a plurality of 3D virtual bone plate templates;virtually positioning the selected virtual 3D bone plate template onto the virtual 3D patchwork bone model; andcreating a virtual 3D patient-specific bone plate by deforming the selected virtual 3D bone plate template to conform to the virtual 3D patchwork bone model.
",A61B34,2023
"METHOD AND APPARATUS FOR PREVENTING TRAFFIC BYPASSING Provided in the present disclosure are a method and apparatus for preventing traffic bypassing. The method for preventing traffic bypassing is applied to a gateway of an EVPN and comprises: notifying other gateways of an EVPN MAC/IP notification routing of a first access device within a first access ring in which a current gateway is located, layer two forwarding information and layer three forwarding information of the first access device being carried in the routing; receiving an EVPN MAC/IP notification routing of a second access device within a second access ring that is notified by a second gateway within the second access ring, and according to layer two forwarding information and layer three forwarding information of the second access device that is carried in the routing, generating a detailed routing of the second access device; and when forwarding a message to the second access device, performing layer two encapsulation and layer three encapsulation on the message according to the detailed routing of the second access device, and forwarding the encapsulated message to the second gateway. The technical solution of the present disclosure may prevent traffic bypassing when accessing ring communication across an Ethernet virtual private network, and improve transmission efficiency.",H04L12,2022
"Surface mount technology repair station and method for repair of surface mount technology circuit boards A surface-mount-technology repair station and method for replacing components on SMT circuit boards. The station includes a base with a controllable heating element through which deionized air is blown onto the surface of a board opposite to the surface on which the repair is to be effected. This raises the temperature of the entire board substantially but to a point below the melting point of solder. A second heating element through which deionized air is blown is positioned over the leads of a selected component positioned on the board, that is either to be removed from or secured to the board. The heating of the leads by the second heating element causes the solder on these leads to melt, thus, enabling replacement of the component. To remove the component, the operator, using an instrument, such as tweezers, grasps the component and removes it from the board. To install a component, the operator, after melting solder on the leads, discontinues the heating of the component.The method of the present invention includes the steps of heating the surface-mount-technology boards to a substantially high temperature, and then heating the leads of a selected component to be replaced so that the solder disposed on the leads melts.","H05K3, H05K13",1987
"Magnetic recording/playback apparatus The invention is concerned with a magnetic recording/playback apparatus in which a magnetic tape is paid out from a tape cassette and wound around a cylindrical rotary head cylinder, having a rotary head built therein, over a predetermined angle to record/playback signals through the rotary head, and more particularly, with a tape guide post driving mechanism, a pinch roller pressing mechanism and a tension servo mechanism. Specifically, the invention provides a tape guide post driving device which can reduce the size, weight and thickness of the apparatus by ensuring a large angle of rotation of a rotating member, which includes a tension arm, in a direct manner. Also, the invention realizes a pinch roller pressing mechanism in which a sufficient stroke can be obtained even when a cam gear is reduced in its diameter and can provide a sufficient stroke even with a small amount of rotation. Further, the invention prolongs the service life and achieves a remarkable reduction in both the number of parts used and the number of assembling steps by using a pad brake (brake member), instead of a band brake, for braking a rotating member and bringing the brake member into full contact over the former's entire surface with the member being braked.",G11B15,1992
"LEANING VEHICLE This leaning vehicle (1) has: a vehicle-side monolithic body (100) which is constituted by a right frame (11) and left frame (12) monolithically joined into a single body and is provided with a power unit support portion (13); and a link-side monolithic body (200). The link-side monolithic body (200) is constituted by an upper boss (22) for supporting an upper cross member (51) of a link mechanism (5), a lower boss (23) for supporting a lower cross member (52), and a main pipe (21) for rotatably supporting a steering shaft (62), the upper boss, lower boss, and main pipe being monolithically joined into a single body. The link-side monolithic body (200) is fastened to the vehicle-side monolithic body (100) by bolts (97, 98, 99).",B62K5,2020
"Treating increased intraocular pressure by steroids The rise in intraocular pressure associated with the use of steroidal anti-inflammatory drugs is controlled by use of angiotensin converting enzyme inhibitors.For the purposes of the invention, the preferred ACE inhibitor is 7-[N-(1(S)-carboxy-3-phenylpropyl)-(S)-alanyl]-1,4-dithia-7-azaspiro[4.4]nonane-8(S)-carboxylic acid.  ","A61K37, A61K31",1987
"BASE PLATE UNIT Provided is a base plate unit (1). The base plate unit is of an integrated structure made of fiber reinforced polymer-matrix composite materials, and comprises a base plate unit body (11) and foot plates (12). The base plate unit body comprises at least one bearing part (111), and each bearing part comprises a panel (1111), a plurality of web plates extending downwards from the bottom of the panel, and bottom supports (1114) disposed at the lower end of the web plates. The web plates comprise two side-web plates (1112) located on the two sides of the panel and a middle web plate (1113) located in the middle. The foot plates are disposed on the two outer sides of the bottom of the base plate unit body, and are formed by the bottoms of the two side-web plates on the outmost side of the base plate unit body respectively extending outwards in the horizontal direction. The width of the panel of each bearing part is 50 to 450 mm and the thickness is 3 to 8 mm. The thickness of the web plates is 4 to 7 mm. The thickness of the foot plates is 3 to 7 mm and the width is 15 to 40 mm. Through matching of all the structures in shape and size, the costs and bearing performance are optimized. Also provided is a base plate unit provided with a cavity filling member (15), which can achieve the optimization effects of costs and bearing performance as well.","B65D90, F16S1",2017
"SYSTEM FOR MONITORING THE EXPIRY DATE The present invention relates, in general, to a system for monitoring the expiry date of drugs or first aid or emergency kits and, more particularly, to a system configured to inform a user about the expiration of drugs.","A61J1, A61F17, A61B90",2022
"AUTOMATIC ANALYSIS DEVICE There is provided an automatic analysis device that can appropriately sort and discard expendable items.The automatic analysis device includes a common transport mechanism 114 that transports a plurality of types of expendable items by common mechanism, a plurality of transport paths that is provided separately from the common transport mechanism 114, a type determination portion 122 that determines the type of expendable item being transported by the common transport mechanism 114. The automatic analysis device controls to select one of a plurality of transport paths according to a determination result of the type determination portion 122 and to transport the expendable items transported from the common transport mechanism 114 via the selected transport path.",G01N35,2020
"DIFFERENTIAL FRAME RATE SETTINGS There is provided techniques for setting frame rates of a camera. The camera comprises a plurality of image sensors arranged to capture images to be stitched into a panorama image of a scene. Information of a respective angle between the optical axis of each of the plurality of image sensors and a direction along which a straight path structure, to be monitored by the camera, extends through the scene is obtained. The plurality of image sensors are divided into at least two groups as a function of the angles. All the angles of the image sensors within each of the at least two groups are part of its own continuous angle interval. One frame rate is set per each of the at least two groups. The frame rate is decreasing from the group with highest continuous angle interval towards the group with lowest continuous angle interval.
","H04N7, G03B37, H04N5",2023
"Method and device for regenerating VOC filter The present invention relates to a method and a device for regenerating a VOC filter. The method comprises steps of: arranging the VOC filter in an air-tight space; and decomposing VOCs adsorbed by the VOC filter by photocatalytic oxidation. The method and the device can be used to improve the regenerating; all the VOCs and formaldehyde absorbed onto the VOC removal filter will be completely decomposed to CO2 and H2O before the atmosphere inside the device is released to the indoor environment.
",B01D53,2015
"ADVERTISEMENT IMAGE GENERATION SYSTEM AND ADVERTISEMENT IMAGE GENERATING METHOD THEREOF An advertisement image generation system and an advertisement image generating method thereof are disclosed. The advertisement image generation system stored an original advertisement image includes an image display device, an image capturing device, an image selection module and a synthesis module. The image capturing device is used to capture a capturing image of a scene, wherein the capturing image has an object. The image selection module is used to find a corresponding selected area image which is having the object from the capturing image. The synthesis module is used for combining the selected area image and the original advertisement image into a final advertisement image, thus the image display device is able to display the final advertisement image.
",G06Q30,2018
"HYDROGEN PRODUCTION METHOD One object of the present invention is to provide a method for preparing hydrogen which is able to simply produce hydrogen which is clean energy without using ammonia as used in the background art and which is very high in safety. The method for preparing hydrogen of the present invention is characterized in that hydrogen is generated by introducing mayenite (Ca12Al14O33) and calcium hydroxide [Ca(OH)2] into water and allowing them to react with water. Here, it is preferable that a temperature of water is from 50 to 100°C, and a molar ratio of mayenite to calcium hydroxide is 1/9.","C01B3, C01F7",2015
"Call cost indicator for mobile devices A method and apparatus to enhance decision-making capabilities of a user of a mobile device, the method having the steps of: receiving, at the mobile device, information related to the cost of mobile services; and communicating an indication of the cost of mobile services to the user.
",H04M15,2011
"Human G-protein chemokine receptor HDGNR10 (CCR5 receptor) Human G-protein chemokine receptor polypeptides and DNA (RNA) encoding such polypeptides and a procedure for producing such polypeptides by recombinant techniques is disclosed. Also disclosed are methods for utilizing such polypeptides for identifying antagonists and agonists to such polypeptides and methods of using the agonists and antagonists therapeutically to treat conditions related to the underexpression and overexpression of the G-protein chemokine receptor polypeptides, respectively. Also disclosed are diagnostic methods for detecting a mutation in the G-protein chemokine receptor nucleic acid sequences and detecting a level of the soluble form of the receptors in a sample derived from a host.","A61K39, A61K38, A61K31",2001
"LIQUEFYING ALKALINE $g(a)-AMYLASE, PROCESS FOR PRODUCING THE SAME, AND DETERGENT COMPOSITION CONTAINING THE SAME A liquefying alkaline α-amylase having the following enzymological properties: (1) action: this enzyme hydrolyzes α-1,4-glycoside linkages of starch, amylose, amylopectin and partial hydrolyzates thereof, and forms glucose, maltose, maltotriose, maltotetraose, maltopentaose and maltohexaose from amylose, though it does not act upon pullulan; (2) isoelectric point: it has an isolectric point exceeding 8.5 as measured by isoelectric electrophoresis. This enzyme has such a liquefying activity as to hydrolyze starch and starch polysaccharides at high random and has an optimum pH value on an alkaline side. Since it has a high isoelectric point, it can readily be purified. A detergent composition containing this enzyme has an excellent detergency against especially stains due to spilt food.","C12N9, C11D3",1995
"Damper and damping structure for a wave energy conversion device The present invention relates to a damper for damping the reactionary motion of a wave energy conversion device to wave motion, comprising a damping energy absorber (7) having a reversible non-linear stress-strain response, arranged to damp the reactionary motion of the WEC.According to a first aspect, there is provided a damping structure (2) for a wave energy conversion device (1). The structure comprises a fixed member (6), and a damping member (7) having a reversible non-linear stress-strain response. The flexible member (7) is connectable between the fixed member (6) and a moveable member or float (3) of a wave energy conversion device (1).The invention also relates to a wave energy conversion device (1).
","F16F15, F16F1, F03B13, F03B15",2008
"Dispenser for deformable solids and method of preparing to dispense a deformable solid A dispenser for deformable solids, such as ice cream, has a container (44) holding the deformable solid, a housing (46) releasably gripping the container, and a rod (48) inserted into the housing to abut a slidable endwall (50) of the container to extrude the deformable solid through dispensing openings (56) in the container. A method of preparing to dispense the deformable solid includes inserting a deformable solid into a container (44), inserting a slidable endwall (50) into the container, and inserting the container into a housing (46). A rod (48) inserted into the housing abuts the container slidable endwall such that a translational movement of the rod causes a translational movement of the container's slidable endwall to extrude the deformable solid through the dispensing openings of the container.
","B65D83, B65D81",2013
"Favourite channel remote A remote control and methods of configuring the remote control are provided. The remote control includes a plurality of favorite channel buttons, an icon holding member having at least one surface positioned adjacent to at least one of the favorite channel buttons, and a transmitter that transmits signals, such as a channel corresponding to an icon located on the icon holding member, to a media device in response to a favorite channel button being pressed by a user. The method of configuring the remote control includes placing an icon on the icon holding member adjacent to one of the favorite channel buttons and programming the remote control to send a signal representing a desired channel that corresponds to the icon using the transmitter when the favorite channel button adjacent to the icon is pressed.
",G08C23,2008
"A device with a rolling bearing @ The invention concerns a device with a journal (1) comprising an angular contact raceway for a row of rolling members in a rolling bearing arrangement, e.g. in a conveyor roller. In order to provide a bearing with a good load carrying capacity in a simplified and inexpensive way, the journal is provided with two annular grooves (15,16) made by a plastic forming operation with a tool which is pressed against the surface of the journal, an annular protrusion (14) with a greater circumference than the original circumference of the journal being formed between the grooves, the side of the protrusion facing the middle portion of the journal having a surface which, together with one of the grooves, constitutes a raceway for rolling members (17).","F16C33, F16C13",1985
"Balloon catheter Thermal conduction to a non-target tissue is unfailingly blocked off to select and effectively ablate only a target tissue. A catheter shaft 1 includes an outer, intermediary and inner tubes 2, 3, 4 which are slidable to each other. An outer balloon 5 is arranged between distal ends 2A, 4A of the outer and inner tubes 4, 5, while an inner balloon 6 is arranged between distal ends 3A, 4A of the intermediary and inner tube 4. The outer balloon 5 is filled with a low thermal conductive gas. Filling solution filled inside the inner balloon 6 is subjected to radiofrequency heating by supplying electricity to an electrode. The outer balloon 5 is held inside a luminal organ and the thermal conduction from the inner balloon 6 is blocked off, thus the thermal energy of the inner balloon 6 selectively ablates a target tissue via a close-contact portion 14.
",A61B18,2013
"Rotary filter color camera A camera of the type in which a rotary filter having color filter sections formed for three different colors is rotated between an image pickup and an object and the image pickup repeatedly stores one frame of a video signal therein. The camera comprising a rotation controller, a memory and an output controller.The rotation controller controls the rotation of the rotary filter in such manner that the image pickup scans by at least two frames of the video signal for a certain residence time during which each of the color filter sections is disposed between the image pickup and the object. The output controller controls the outputting of the video signal from the image pickup into the memory. The output controller inhibits the image pickup from outputting into the memory the first frame of the video signal during residence time.  ",H04N9,1990
"Attachment arrangement for a CATV module An adapter plate for attaching a module to a wall outlet terminating a coaxial cable, the wall outlet comprising a first and a second RF connector; the adapter plate comprising a plug substantially orthogonal to a surface of the plate, the plug being designed to fit into the first RF connector of a first type of wall outlet; and a hole for insertion of a RF connector of the module, the hole locating at a distance from the plug such that when the plug is inserted into said first RF connector, the hole is co-locatable with the second RF connector of the first type of wall outlet.
","H01R24, H01R13",2014
"AUDIO GENERATION METHODS AND SYSTEMS A method of generating audio assets, comprising the steps of: receiving an input multi-layered audio asset comprising a plurality of audio layers, generating an input multi-channel image, wherein each channel of the input multi-channel image comprises an input image representative of one of the audio layers, training a generative model on the input multi-channel image and implementing the trained generative model to generate an output multi-channel image, wherein each channel of the output multi-channel image comprises an output image representative of an output audio layer, and generating an output multi-layered audio asset based on a combination of output audio layers derived from the output images.
","A63F13, G10K15, G10L21",2023
"Coated ceramic fibers This invention pertains to coated ceramic fibers wherein the coating comprises at least one binary coating comprised of boron nitride (BN) and silicon nitride (Si3N4). The fibers are useful to make composites that comprise the coated ceramic fibers within ceramic matrices derived from curable preceramic polymers. The composites can be formed into complex shapes which have good oxidation resistance at high temperature, good resistance to moisture high flexural strength and are resistant to moisture.",C04B35,2000
"Fuel and fuel additives capable for use for internal combustion engines and process for the production thereof The invention provides four products, whereinProduct A is a paraffin fraction comprising 98.0-99.9% by weight C4-C12 i- and n-paraffins with 1:4 to 4:1 i/n ratio and 0.1-2.0% by weight C4-C10 carboxylic acid esters, wherein the boiling range of the paraffin fraction is 20-250°C.Product B is a paraffin fraction comprising 95.00-99.95% by weight C10-C25 i- and n-paraffins with 1:9 to 3:2 i/n ratio and 0.05-1.00% by weight C12-C14 carboxylic acids and/or C12-C16 carboxylic acid esters, wherein the boiling range of the paraffin fraction is 160-400°C.Product C is a polar product mix comprising 5-20% by weight C9-C14 carboxylic acids and 80-95% by weight C12-C19 carboxylic acid esters.Product D is a paraffin fraction comprising C10-C26 i- and n-paraffins with 1.5:1 to 5:1 i/n ratio, wherein the boiling range of the paraffin fraction is 160-420°C.The invention further provides a process for the production of paraffin fractions by a special hydrocracking, wherein the feedstock is treated with hydrogen in the presence of heterogeneous catalyst applied on a carrier at 160-420°C temperature and 5-100 bars pressure, where the volumetric hydrogen to feedstock ratio is 200-2000 Nm3/m3 and the hourly feedstock load is up to 10 m3 feedstock/m3 catalyst.","C10G3, C10L1",2011
